Song,Artist,Difficulty,Lv,CC,Notes,Chart designer,Version
Infinity Heaven,HyuN,Future,7+,7.8,853,Nitro,1.0.10
Infinity Heaven,HyuN,Beyond,9,9.6,986,Nitr∞,3.0.0
Party Vinyl,モリモリあつし,Past,4,4,337,Party Toaster,1.0.11
Party Vinyl,モリモリあつし,Present,7+,7.8,543,Party Toaster,1.0.11
Party Vinyl,モリモリあつし,Future,9,9.4,800,Party Toaster,1.0.11
Party Vinyl,モリモリあつし,Beyond,10,10.3,946,Party Exschwasion,4.1.6
Flashback,ARForest,Past,2,2,356,Nitro,1.0.11
Flashback,ARForest,Present,5,5,488,Nitro,1.0.11
Flashback,ARForest,Future,8+,8.9,856,Nitro,1.0.11
Flyburg and Endroll,アリスシャッハと魔法の楽団,Past,3,3,413,N,1.0.11
Flyburg and Endroll,アリスシャッハと魔法の楽団,Present,6,6,650,N,1.0.11
Flyburg and Endroll,アリスシャッハと魔法の楽団,Future,9,9,930,NーHelix,1.0.11
Nirv lucE,しーけー,Past,2,2.5,297,東星※紅空,1.0.11
Nirv lucE,しーけー,Present,7,7,547,東星※紅空,1.0.11
Nirv lucE,しーけー,Future,10,10.2,980,東星※紅空,1.0.11
Paradise,Sound Souler,Past,1,1,253,Nitro,1.0.11
Paradise,Sound Souler,Present,4,4,349,Nitro,1.0.11
Paradise,Sound Souler,Future,7+,7.8,729,Nitro,1.0.11
Brand new world,U-ske,Past,2,2,322,Nitro 2.0,1.0.11
Brand new world,U-ske,Present,4,4,432,Nitro 2.0,1.0.11
Brand new world,U-ske,Future,7+,7.8,787,Nitro 2.0,1.0.11
DataErr0r,Cosmograph,Past,3,3,502,ToastErr0r,1.1.0
DataErr0r,Cosmograph,Present,7,7,785,ToastErr0r,1.1.0
DataErr0r,Cosmograph,Future,9,9.5,955,ToastErr0r,1.1.0
CROSS†SOUL,HyuN feat. Syepias,Past,4,4,606,k//eternal,1.1.0
CROSS†SOUL,HyuN feat. Syepias,Present,7,7,823,k//eternal,1.1.0
CROSS†SOUL,HyuN feat. Syepias,Future,9,9.4,1081,k//eternal,1.1.0
Your voice so... feat. Such,PSYQUI,Past,3,3.5,469,Nitro,1.1.0
Your voice so... feat. Such,PSYQUI,Present,6,6.5,677,Nitro,1.1.0
Your voice so... feat. Such,PSYQUI,Future,9,9.4,1013,Nitro,1.1.0
Chronostasis,黒皇帝,Past,3,3.5,619,Kurorak,1.1.0
Chronostasis,黒皇帝,Present,7,7.5,812,Kurorak,1.1.0
Chronostasis,黒皇帝,Future,8+,8.9,916,Kurorak,1.1.0
Kanagawa Cyber Culvert,南ゆに,Past,1,1,375,Nitro,1.1.0
Kanagawa Cyber Culvert,南ゆに,Present,5,5.5,707,Nitro,1.1.0
Kanagawa Cyber Culvert,南ゆに,Future,9,9,1111,Nitro,1.1.0
Kanagawa Cyber Culvert,南ゆに,Beyond,9+,9.8,1121,Exschwas↓on,3.10.0
Moonlight of Sand Castle,旅人E,Past,1,1.5,418,Kurorak,1.1.2
Moonlight of Sand Castle,旅人E,Present,5,5,394,Kurorak,1.1.2
Moonlight of Sand Castle,旅人E,Future,7+,7.8,645,Kurorak,1.1.2
REconstruction,Ryazan,Past,2,2.5,347,Nitro,1.1.2
REconstruction,Ryazan,Present,6,6,469,Nitro,1.1.2
REconstruction,Ryazan,Future,8,8.4,825,Nitro,1.1.2
Evoltex (poppi'n mix),Arch vs n3pu,Past,2,2,297,k//eternal,1.1.2
Evoltex (poppi'n mix),Arch vs n3pu,Present,7,7,627,k//eternal,1.1.2
Evoltex (poppi'n mix),Arch vs n3pu,Future,8+,8.9,775,k//eternal,1.1.2
Oracle,TQ☆,Past,3,3,425,Nitro,1.1.2
Oracle,TQ☆,Present,5,5.5,508,Nitro,1.1.2
Oracle,TQ☆,Future,9,9.3,963,Nitro,1.1.2
αterlβus,Aoi,Past,4,4,505,τoastεr,1.1.2
αterlβus,Aoi,Present,7,7.5,668,τoastεr,1.1.2
αterlβus,Aoi,Future,10,10.2,1030,τoastεr,1.1.2
Clotho and the stargazer,しーけー,Past,2,2,519,小東星,1.1.2
Clotho and the stargazer,しーけー,Present,5,5,745,小東星,1.1.2
Clotho and the stargazer,しーけー,Future,7+,7.8,1021,小東星,1.1.2
Clotho and the stargazer,しーけー,Eternal,8+,8.8,1031,eién,5.4.0
Impure Bird,MIssionary,Past,2,2,350,Kurorak,1.1.3
Impure Bird,MIssionary,Present,5,5.5,518,Kurorak,1.1.3
Impure Bird,MIssionary,Future,9,9.4,805,Kurorak,1.1.3
Ignotus,ak+q,Past,3,3.5,579,Toaster,1.1.3
Ignotus,ak+q,Present,6,6.5,809,Toaster,1.1.3
Ignotus,ak+q,Future,9,9.3,1225,Toaster,1.1.3
Ignotus Afterburn,Arcaea Sound Team,Beyond,9+,9.9,1077,Toaster × 石樂,3.12.2
Lethaeus,Silentroom,Past,3,3.5,480,夜浪,1.1.4
Lethaeus,Silentroom,Present,6,6.5,717,夜浪,1.1.4
Lethaeus,Silentroom,Future,9+,9.7,900,夜浪,1.1.4
Romance Wars,U-ske (feat. lueur),Past,1,1,423,Kurorak,1.1.4
Romance Wars,U-ske (feat. lueur),Present,4,4,378,Kurorak,1.1.4
Romance Wars,U-ske (feat. lueur),Future,7+,7.8,641,Kurorak,1.1.4
Blossoms,T2Kazuya,Past,1,1,275,Nitro,1.1.4
Blossoms,T2Kazuya,Present,4,4,383,Nitro,1.1.4
Blossoms,T2Kazuya,Future,7,7,655,Nitro,1.1.4
Moonheart,翡乃イスカ,Past,2,2.5,449,Toaster,1.1.4
Moonheart,翡乃イスカ,Present,5,5.5,566,Toaster,1.1.4
Moonheart,翡乃イスカ,Future,8,8.4,947,Toaster,1.1.4
Moonheart,翡乃イスカ,Beyond,9+,9.7,1139,Toaster,3.4.1
Genesis,Iris,Past,2,2,275,Haruba,1.1.4
Genesis,Iris,Present,5,5.5,399,Haruba,1.1.4
Genesis,Iris,Future,8,8.2,713,Haruba,1.1.4
Harutopia ~Utopia of Spring~,A-zu-ra,Past,1,1,444,トーストピア  ~Utopia of Toast~,1.1.4
Harutopia ~Utopia of Spring~,A-zu-ra,Present,4,4.5,706,トーストピア  ~Utopia of Toast~,1.1.4
Harutopia ~Utopia of Spring~,A-zu-ra,Future,8,8.5,1061,トーストピア  ~Utopia of Toast~,1.1.4
Auxesia,ginkiha,Past,3,3.5,385,Nitroだー！！,1.1.4
Auxesia,ginkiha,Present,6,6.5,648,Nitroだー！,1.1.4
Auxesia,ginkiha,Future,9,9.3,1000,Nitroだー！,1.1.4
Rabbit In The Black Room,Rabbit House,Past,2,2.5,373,Toaster,1.1.6
Rabbit In The Black Room,Rabbit House,Present,5,5.5,467,Toaster,1.1.6
Rabbit In The Black Room,Rabbit House,Future,8,8.4,772,Toaster,1.1.6
Modelista,HiTECH NINJA,Past,3,3.5,418,NITRO,1.1.6
Modelista,HiTECH NINJA,Present,7,7.5,691,NITRO,1.1.6
Modelista,HiTECH NINJA,Future,9+,9.9,1010,NITRO,1.1.6
SOUNDWiTCH,HATE,Past,3,3.5,315,NiTRO,1.5.0
SOUNDWiTCH,HATE,Present,6,6.5,488,NiTRO,1.5.0
SOUNDWiTCH,HATE,Future,9+,9.8,785,NiTRO,1.5.0
trappola bewitching,gmtn.,Past,3,3,415,Kurorak,1.5.0
trappola bewitching,gmtn.,Present,6,6,541,Kurorak,1.5.0
trappola bewitching,gmtn.,Future,9+,9.9,1044,k//urorak,1.5.0
trappola bewitching,gmtn.,Beyond,10,10.6,1086,NITRO -mesmerize-,4.3.0
Iconoclast,Yamajet,Past,4,4,443,Toaster,1.5.0
Iconoclast,Yamajet,Present,7,7,593,Toaster,1.5.0
Iconoclast,Yamajet,Future,9,9.1,795,Toaster,1.5.0
conflict,siromaru + cranky,Past,4,4.5,520,Toaster,1.5.0
conflict,siromaru + cranky,Present,7,7.5,731,Nitro,1.5.0
conflict,siromaru + cranky,Future,10,10.2,1056,toaster + nitro,1.5.0
Axium Crisis,ak+q,Past,5,5.5,685,The Monolith,1.5.0
Axium Crisis,ak+q,Present,8,8.5,1065,The Monolith,1.5.0
Axium Crisis,ak+q,Future,10,10.6,1094,The Monolith,1.5.0
Grievous Lady,Team Grimoire vs Laur,Past,6,6.5,956,迷路第一層,1.5.0
Grievous Lady,Team Grimoire vs Laur,Present,9,9.3,1194,迷路第二層,1.5.0
Grievous Lady,Team Grimoire vs Laur,Future,11,11.1,1450,迷路深層,1.5.0
Dreamin' Attraction!!,翡乃イスカ,Past,4,4.5,592,Nitro,1.5.0
Dreamin' Attraction!!,翡乃イスカ,Present,7,7,785,Nitro,1.5.0
Dreamin' Attraction!!,翡乃イスカ,Future,9,9.4,1129,Nitro,1.5.0
Red and Blue,Silentroom,Past,4,4,464,#NAME?,1.5.0
Red and Blue,Silentroom,Present,7+,7.8,597,side BLUE -chartaesthesia-,1.5.0
Red and Blue,Silentroom,Future,9,9.4,845,#NAME?,1.5.0
Red and Blue and Green,fn(ArcaeaSoundTeam),Beyond,10,10.2,1194,"moonquay ""retrograde""BLUE=LEFT RIGHT=RED",3.12.2
One Last Drive,REDSHiFT,Past,2,2.5,604,Toaster,1.5.0
One Last Drive,REDSHiFT,Present,5,5.5,564,Toaster,1.5.0
One Last Drive,REDSHiFT,Future,8,8.2,885,Toaster,1.5.0
Surrender,void,Past,3,3,550,Nitro,1.5.2
Surrender,void,Present,6,6.5,721,Nitro,1.5.2
Surrender,void,Future,8+,8.8,925,Nitro,1.5.2
Yosakura Fubuki,A.SAKA,Past,4,4.5,416,k//eternal,1.5.2
Yosakura Fubuki,A.SAKA,Present,7,7,582,k//eternal,1.5.2
Yosakura Fubuki,A.SAKA,Future,9,9.4,931,k//eternal,1.5.2
cyanine,jioyi,Past,4,4,661,夜浪 - Apocalypse,1.5.5
cyanine,jioyi,Present,7+,7.8,947,夜浪,1.5.5
cyanine,jioyi,Future,10,10.6,1171,夜浪,1.5.5
Dream goes on,Tiny Minim,Past,1,1.5,532,k//eternal,1.5.5
Dream goes on,Tiny Minim,Present,5,5,751,k//eternal,1.5.5
Dream goes on,Tiny Minim,Future,7+,7.8,719,k//eternal,1.5.5
Journey,ARForest,Past,3,3,551,Kurorak,1.5.5
Journey,ARForest,Present,6,6,778,Kurorak,1.5.5
Journey,ARForest,Future,9,9.1,997,Kurorak,1.5.5
Specta,Junk,Past,3,3.5,390,Toaster,1.5.5
Specta,Junk,Present,6,6.5,706,Toaster,1.5.5
Specta,Junk,Future,9,9.4,1096,Toaster,1.5.5
Quon,Feryquitous,Past,4,4,547,Nitro,1.5.5
Quon,Feryquitous,Present,6,6.5,718,Nitro,1.5.5
Quon,Feryquitous,Future,9,9.6,991,Nitro,1.5.5
Syro,Mitomoro,Past,3,3.5,535,Toaster,1.5.3
Syro,Mitomoro,Present,6,6.5,829,Toaster,1.5.3
Syro,Mitomoro,Future,9,9.3,1150,Toaster,1.5.3
Reinvent,Sound Souler,Past,2,2.5,570,k//eternal,1.5.3
Reinvent,Sound Souler,Present,6,6.5,703,k//eternal,1.5.3
Reinvent,Sound Souler,Future,8,8.5,852,k//eternal + nitro,1.5.3
Silent Rush,Soleily,Past,2,2.5,416,TaroNuke,1.6.0
Silent Rush,Soleily,Present,5,5,674,TaroNuke,1.6.0
Silent Rush,Soleily,Future,8,8.6,941,TaroNuke,1.6.0
Singularity,ETIA.,Past,4,4.5,534,東星,1.6.0
Singularity,ETIA.,Present,7+,7.8,678,東星,1.6.0
Singularity,ETIA.,Future,10,10.5,1105,東星※コラプサー,1.6.0
Singularity VVVIP,Arcaea Sound Team against. ETIA.,Beyond,10,10.4,1114,Exschwasion against. 絶滅,3.12.2
Memory Forest,ETIA.,Past,3,3.5,639,Kurorak,1.6.0
Memory Forest,ETIA.,Present,6,6,726,Kurorak,1.6.0
Memory Forest,ETIA.,Future,9+,9.8,978,Kurorak,1.6.0
Strongholds,Yooh,Past,2,2.5,570,TaroNuke,1.6.0
Strongholds,Yooh,Present,5,5,778,TaroNukeΔ,1.6.0
Strongholds,Yooh,Future,9,9.2,922,TΔroNuke,1.6.0
next to you,uma feat. 橘花音,Past,4,4.5,454,Nitro,1.6.0
next to you,uma feat. 橘花音,Present,7,7,583,Nitro,1.6.0
next to you,uma feat. 橘花音,Future,8+,8.8,824,Nitro,1.6.0
next to you,uma feat. 橘花音,Beyond,9,9.6,954,Toastie,3.6.0
Metallic Punisher,INNOCENT NOIZE,Past,3,3,500,Kurorak,1.5.6
Metallic Punisher,INNOCENT NOIZE,Present,7,7,846,Kurorak,1.5.6
Metallic Punisher,INNOCENT NOIZE,Future,10,10.3,1238,Black Tea,1.5.6
Blaster,Massive New Krew,Past,4,4,571,k//urorak,1.5.7
Blaster,Massive New Krew,Present,7,7,635,k//urorak,1.5.7
Blaster,Massive New Krew,Future,9,9.3,1002,k//urorak,1.5.7
γuarδina,Aoi,Past,4,4,507,τoastεr,1.6.2
γuarδina,Aoi,Present,8,8,678,τoastεr,1.6.2
γuarδina,Aoi,Future,10,10.4,1120,τoastεr,1.6.2
carmine:scythe,かゆき,Past,4,4,493,週刊Toaster,1.6.2
carmine:scythe,かゆき,Present,7+,7.8,710,週刊Toaster,1.6.2
carmine:scythe,かゆき,Future,9,9.6,1164,週刊Toaster,1.6.2
Be There,PSYQUI,Past,4,4,592,Nitro,1.6.4
Be There,PSYQUI,Present,7,7.5,792,Nitro,1.6.4
Be There,PSYQUI,Future,9,9.4,982,Be Nitro,1.6.4
Cybernecia Catharsis,Tanchiky,Past,4,4,377,Kero,1.6.4
Cybernecia Catharsis,Tanchiky,Present,7,7,655,Kero,1.6.4
Cybernecia Catharsis,Tanchiky,Future,9,9.5,946,Kero + Nitro,1.6.4
Cybernecia Catharsis,Tanchiky,Beyond,9+,9.8,991,antymis,5.3.0
Call My Name feat. Yukacco,Mameyudoufu,Past,3,3.5,591,Kurorak,1.6.6
Call My Name feat. Yukacco,Mameyudoufu,Present,6,6,653,Kurorak,1.6.6
Call My Name feat. Yukacco,Mameyudoufu,Future,8+,8.7,921,Kuro my Nitro,1.6.6
inkar-usi,DIA,Past,2,2,276,Kurorak,1.6.6
inkar-usi,DIA,Present,4,4,326,Kurorak,1.6.6
inkar-usi,DIA,Future,7+,7.8,463,Kurorak,1.6.6
inkar-usi,DIA,Beyond,9,9.4,857,CERiNG,5.3.0
Maze No.9,アリスシャッハと魔法の楽団,Past,3,3,494,小東星,1.7.0
Maze No.9,アリスシャッハと魔法の楽団,Present,3,3.5,445,小東星,1.7.0
Maze No.9,アリスシャッハと魔法の楽団,Future,8+,8.9,775,小東星,1.7.0
The Message,Jun Kuroda,Past,3,3,536,Toaster,1.7.0
The Message,Jun Kuroda,Present,6,6.5,630,Toaster,1.7.0
The Message,Jun Kuroda,Future,9+,9.7,992,Toaster,1.7.0
Sulfur,ぺのれり,Past,4,4,458,Shirorak,1.7.0
Sulfur,ぺのれり,Present,6,6,608,Shirorak,1.7.0
Sulfur,ぺのれり,Future,9+,9.7,1045,Shirorak,1.7.0
Halcyon,xi,Past,5,5.5,662,東星※太陽,1.7.0
Halcyon,xi,Present,8,8.2,943,東星※太陽,1.7.0
Halcyon,xi,Future,10,10.5,1227,東星※太陽,1.7.0
Ether Strike,Akira Complex,Past,5,5.5,659,Zero Sky,1.7.0
Ether Strike,Akira Complex,Present,8,8.3,837,Zero Sky,1.7.0
Ether Strike,Akira Complex,Future,10,10.3,1170,Zero Sky,1.7.0
Fracture Ray,Sakuzyo,Past,6,6,983,Volatile Paradox,1.7.0
Fracture Ray,Sakuzyo,Present,9,9.5,1343,Absolute Paradox,1.7.0
Fracture Ray,Sakuzyo,Future,11,11.1,1279,Paradox Zero,1.7.0
Suomi,Aire,Past,2,2,368,Toastie,1.7.0
Suomi,Aire,Present,5,5,550,Toastie,1.7.0
Suomi,Aire,Future,7+,7.8,818,Toastie,1.7.0
Suomi,Aire,Eternal,8+,8.9,732,CERiNG,5.4.0
Bookmaker (2D Version),Kobaryo,Past,4,4.5,538,Kurorak,1.7.0
Bookmaker (2D Version),Kobaryo,Present,6,6.5,728,Kurorak,1.7.0
Bookmaker (2D Version),Kobaryo,Future,8,8.3,1124,Kurorak,1.7.0
Bookmaker (2D Version),Kobaryo,Beyond,10,10,1287,Toastmaker,3.6.4
Illegal Paradise,gmtn. (witch's slave),Past,2,2,535,k//eternal,1.7.0
Illegal Paradise,gmtn. (witch's slave),Present,7,7,585,k//eternal,1.7.0
Illegal Paradise,gmtn. (witch's slave),Future,9,9.5,1061,k//eternal + nitro,1.7.0
dropdead,Frums,Past,1,1.5,44,-chartaesthesia-LIMITER:10%,1.7.2
dropdead,Frums,Present,9,9.5,1323,-chartaesthesia-LIMITER:100%,1.7.2
dropdead,Frums,Future,8+,9.1,823,-chartaesthesia-LIMITER:25% (OVERDRIVE:+100%),1.7.2
overdead.,fn,Beyond,10,10.5,1503,絶滅 over 夜浪.,3.12.2
Fallensquare,Silentroom,Past,3,3,316,Haruba,1.7.2
Fallensquare,Silentroom,Present,7,7.5,486,Haruba,1.7.2
Fallensquare,Silentroom,Future,9+,9.7,703,Haruba,1.7.2
Nhelv,Silentroom,Past,3,3,647,Nitro「Katastrophe」,1.7.2
Nhelv,Silentroom,Present,6,6.5,913,Nitro「Katastrophe」,1.7.2
Nhelv,Silentroom,Future,9+,9.9,1108,Nitro「Katastrophe」,1.7.2
Nhelv,Silentroom,Beyond,10+,10.9,1474,零下 -descent-,6.4.0
LunarOrbit -believe in the Espebranch road-,Apo11o program ft. 大瀬良あい,Past,3,3.5,624,月刊Toaster,1.7.4
LunarOrbit -believe in the Espebranch road-,Apo11o program ft. 大瀬良あい,Present,6,6,757,月刊Toaster,1.7.4
LunarOrbit -believe in the Espebranch road-,Apo11o program ft. 大瀬良あい,Future,9,9.6,1058,月刊Toaster,1.7.4
Purgatorium,お月さま交響曲,Past,2,2.5,609,Kurorak,1.7.5
Purgatorium,お月さま交響曲,Present,6,6,641,Kurorak,1.7.5
Purgatorium,お月さま交響曲,Future,8,8.4,983,Kurorak,1.7.5
Purgatorium,お月さま交響曲,Beyond,9,9.6,1051,Toaster,3.1.0
Hikari,THB,Past,2,2.5,237,OptoNuke,1.8.0
Hikari,THB,Present,6,6,450,OptoNuke,1.8.0
Hikari,THB,Future,8,8.1,684,OptoNuke,1.8.0
STAGER (ALL STAGE CLEAR),Ras,Past,3,3,453,KURORAK,1.8.0
STAGER (ALL STAGE CLEAR),Ras,Present,6,6.5,559,KURORAK,1.8.0
STAGER (ALL STAGE CLEAR),Ras,Future,9,9.5,1004,KURORAK,1.8.0
Hall of Mirrors,Sta,Past,3,3,535,Toaster,1.8.0
Hall of Mirrors,Sta,Present,5,5.5,553,Toaster,1.8.0
Hall of Mirrors,Sta,Future,8,8.2,898,Toaster,1.8.0
Linear Accelerator,THE SHAFT,Past,2,2.5,438,THE TOAST,1.8.0
Linear Accelerator,THE SHAFT,Present,6,6.5,488,THE TOAST,1.8.0
Linear Accelerator,THE SHAFT,Future,9+,9.8,905,THE TOAST,1.8.0
Tiferet,xi + Sta,Past,4,4.5,450,夜浪[Spherical],1.8.0
Tiferet,xi + Sta,Present,7+,7.8,720,夜浪[Spherical],1.8.0
Tiferet,xi + Sta,Future,10,10.3,1086,夜浪[Spherical],1.8.0
Alexandrite,WAiKURO,Past,4,4.5,507,東星※空の宝石,1.7.5
Alexandrite,WAiKURO,Present,7,7.5,699,東星※空の宝石,1.7.5
Alexandrite,WAiKURO,Future,10,10,1040,東星※空の宝石,1.7.5
Rugie,Feryquitous feat.Sennzai,Past,3,3,566,k//urorak,1.8.1
Rugie,Feryquitous feat.Sennzai,Present,6,6,754,k//urorak,1.8.1
Rugie,Feryquitous feat.Sennzai,Future,9,9.2,975,k//urorak,1.8.1
Astral tale,Noah,Past,4,4.5,445,Nitro,1.8.1
Astral tale,Noah,Present,7,7,642,Nitro,1.8.1
Astral tale,Noah,Future,9,9.6,884,Nitro,1.8.1
Phantasia,Yunosuke,Past,4,4,544,Toaster,1.8.2
Phantasia,Yunosuke,Present,5,5.5,579,Toaster,1.8.2
Phantasia,Yunosuke,Future,9,9.2,952,Toaster,1.8.2
Empire of Winter,Street,Past,3,3.5,484,0°Nitro,1.8.3
Empire of Winter,Street,Present,6,6.5,662,0°Nitro,1.8.3
Empire of Winter,Street,Future,9,9.1,920,0°Nitro,1.8.3
MERLIN,REDALiCE,Past,3,3,315,Got More Taro?,1.9.0
MERLIN,REDALiCE,Present,5,5.5,428,Got More Taro?,1.9.0
MERLIN,REDALiCE,Future,8+,8.9,712,Got More Taro?,1.9.0
MERLIN,REDALiCE,Beyond,9,9.4,881,EXSCHWASiON,3.12.4
DX Choseinou Full Metal Shojo,IOSYS TRAX (uno with.ちよこ),Past,3,3,327,DX譜面作者フルメタルNitro,1.9.0
DX Choseinou Full Metal Shojo,IOSYS TRAX (uno with.ちよこ),Present,6,6,556,DX譜面作者フルメタルNitro,1.9.0
DX Choseinou Full Metal Shojo,IOSYS TRAX (uno with.ちよこ),Future,9+,9.7,808,DX譜面作者フルメタルNitro,1.9.0
OMAKENO Stroke,t+pazolite,Past,3,3,502,Kurorak,1.9.0
OMAKENO Stroke,t+pazolite,Present,6,6.5,616,Kurorak,1.9.0
OMAKENO Stroke,t+pazolite,Future,9,9.5,869,Kurorak,1.9.0
OMAKENO Stroke,t+pazolite,Beyond,10,10.3,931,NITRO,3.12.4
Scarlet Lance,MASAKI (ZUNTATA),Past,4,4,517,闇運,1.9.0
Scarlet Lance,MASAKI (ZUNTATA),Present,7,7,644,闇運,1.9.0
Scarlet Lance,MASAKI (ZUNTATA),Future,10,10,1130,闇運,1.9.0
